romdasSpikes,calcSpikes,iri
1783.0,27,4.62
1518.0,41,4.31
1104.0,26,3.83
893.0,20,3.58
838.0,13,3.52
812.0,16,3.49
1060.0,35,3.78
1832.0,46,4.67
1708.0,33,4.52
1328.0,18,4.08
1142.0,34,3.87
1335.0,18,4.1
1299.0,32,4.05
1386.0,18,4.16
1523.0,19,4.31
1023.0,14,3.74
1304.0,17,4.06
978.0,20,3.68
926.0,14,3.63
1317.0,14,4.07
836.0,20,3.52
953.0,19,3.65
1316.0,23,4.07
982.0,7,3.68
801.0,10,3.48
817.0,22,3.49
872.0,11,3.56
3188.0,6,6.25
1648.0,0,4.45
1332.0,1,4.09
967.0,27,3.67
1228.0,25,3.97
1373.0,13,4.14
1612.0,16,4.41
1202.0,20,3.94
1017.0,32,3.73
1417.0,23,4.18
1559.0,21,4.37
2220.0,44,5.12
1206.0,35,3.94
1018.0,20,3.73
853.0,26,3.54
992.0,2,3.69
1589.0,22,4.4
1232.0,24,3.99
1043.0,31,3.76
1856.0,47,4.7
1816.0,36,4.65
1604.0,18,4.4
1849.0,21,4.69
1489.0,28,4.28
1694.0,34,4.51
2965.0,114,5.99
1316.0,46,4.07
1069.0,45,3.79
1003.0,35,3.71
1149.0,22,3.88
2070.0,44,4.95
1178.0,17,3.91
1687.0,42,4.5
1262.0,28,4.01
2091.0,33,4.97
1716.0,11,4.53
2461.0,166,5.4
2674.0,0,6.53
1295.0,24,4.05
1314.0,29,4.07
1295.0,31,4.05
1014.0,14,3.72
1154.0,28,3.88
1057.0,39,3.77
1356.0,37,4.12
1150.0,26,3.88
1447.0,27,4.23
1275.0,18,4.02
1329.0,21,4.09
1251.0,36,4.0
1829.0,23,4.67
1439.0,17,4.22
1142.0,75,3.87
966.0,13,3.67
1063.0,24,3.78
1065.0,31,3.78
1673.0,33,4.48
1678.0,32,4.49
1385.0,21,4.15
1579.0,38,4.38
1296.0,19,4.05
1458.0,14,4.24
1239.0,13,3.98
