romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,calcSpikesAll,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed,yMax,xMax,zMax
,7,54,,,4.24,,,,,,,,,28.58815,32.596211190677735,,,
,2,18,,,4.06,,,,,,,,,30.83205,29.763601340264362,,,
,2,27,,,4.29,,,,,,,,,33.64923,34.448173918668424,,,
,2,37,,,3.74,,,,,,,,,40.63288,42.64705068612695,,,
,3,43,,,3.66,,,,,,,,,43.29777,40.93273788318306,,,
,0,26,,,3.41,,,,,,,,,45.76267,46.94356348564766,,,
,1,43,,,3.41,,,,,,,,,47.28694,48.776829587206294,,,
,9,36,,,4.08,,,,,,,,,39.03063,38.53052618901614,,,
,4,37,,,3.53,,,,,,,,,44.93259,44.11749845522819,,,
,4,50,,,3.89,,,,,,,,,33.19581,36.10562909563263,,,
,0,22,,,3.81,,,,,,,,,35.16841,32.513286767168815,,,
,1,39,,,3.5,,,,,,,,,41.78107,42.96485061649887,,,
,1,31,,,3.52,,,,,,,,,41.94689,39.229960173030136,,,
,1,29,,,3.3,,,,,,,,,43.32965,46.64493496764903,,,
,3,44,,,3.33,,,,,,,,,44.77316,45.137305985124634,,,
,2,34,,,3.47,,,,,,,,,44.26526,45.181112569450924,,,
,6,22,,,3.56,,,,,,,,,45.64843,47.565606125250795,,,
,4,46,,,3.68,,,,,,,,,42.79707,42.66262631831241,,,
,7,23,,,3.54,,,,,,,,,43.43342,42.41255230688571,,,
,5,29,,,3.64,,,,,,,,,45.53322,45.41943249742868,,,
,2,29,,,3.31,,,,,,,,,47.81795,51.13598534919629,,,
,2,21,,,3.31,,,,,,,,,48.51104,48.334774795958275,,,
,2,38,,,3.32,,,,,,,,,44.81137,48.86793996637226,,,
,3,47,,,3.73,,,,,,,,,39.8401,38.52218303215976,,,
,3,12,,,3.61,,,,,,,,,42.30988,44.16269180452331,,,
,2,16,,,3.49,,,,,,,,,45.64855,45.25974334403734,,,
,7,36,,,4.17,,,,,,,,,36.5919,38.13248066602054,,,
,6,49,,,4.02,,,,,,,,,40.74295,42.5947035904779,,,
,4,46,,,3.64,,,,,,,,,43.00969,42.54760649129466,,,
,79,62,,,4.54,,,,,,,,,6.030806,7.398377269534154,,,
,5,34,,,4.04,,,,,,,,,26.87505,24.6814794709206,,,
,6,51,,,3.82,,,,,,,,,39.12314,39.096474241389004,,,
,0,46,,,3.59,,,,,,,,,42.61942,45.825488864044246,,,
,5,47,,,3.72,,,,,,,,,44.5704,44.45532163687424,,,
,1,22,,,3.76,,,,,,,,,43.6329,42.365806867124085,,,
,3,56,,,4.0,,,,,,,,,43.68532,42.10721724690462,,,
,7,29,,,4.46,,,,,,,,,35.87409,37.832596618424645,,,
,0,25,,,4.26,,,,,,,,,39.78759,37.86325843587295,,,
,12,55,,,3.88,,,,,,,,,44.95398,45.80394198560263,,,
,3,54,,,3.82,,,,,,,,,39.34967,42.015745115586284,,,
,23,62,,,4.41,,,,,,,,,9.373343,10.912458864915783,,,
,3,19,,,3.8,,,,,,,,,23.83325,23.797542354430895,,,
,0,23,,,3.72,,,,,,,,,38.14687,37.04805952880703,,,
,3,28,,,3.41,,,,,,,,,46.24817,47.130736889435546,,,
,1,16,,,3.41,,,,,,,,,48.13067,53.48987569129543,,,
,7,16,,,3.7,,,,,,,,,45.06194,46.70514083483622,,,
,1,42,,,3.53,,,,,,,,,43.68497,43.54186443981293,,,
,2,24,,,3.45,,,,,,,,,45.55822,47.56586362380926,,,
,8,32,,,3.97,,,,,,,,,43.5762,43.72280066067503,,,
,43,45,,,6.42,,,,,,,,,20.8192,15.374757795310906,,,
,59,77,,,7.87,,,,,,,,,23.23421,26.448538293402542,,,
,55,68,,,6.67,,,,,,,,,24.57841,23.473805388070456,,,
,48,55,,,5.83,,,,,,,,,26.77012,23.384533018229323,,,
,32,43,,,5.72,,,,,,,,,23.51204,30.181858272531453,,,
,15,21,,,5.96,,,,,,,,,17.20278,16.876116063561877,,,
,22,35,,,5.43,,,,,,,,,19.2568,16.830180488760192,,,
,29,48,,,5.15,,,,,,,,,30.32251,31.100864982912267,,,
,46,60,,,6.14,,,,,,,,,29.56332,30.242026768851954,,,
,41,53,,,5.91,,,,,,,,,28.73968,31.287543398614797,,,
,41,61,,,5.97,,,,,,,,,30.96645,32.66366009552775,,,
,30,51,,,5.84,,,,,,,,,28.67207,24.483460315245097,,,
,19,48,,,5.55,,,,,,,,,12.20689,14.991470816002963,,,
,14,24,,,5.29,,,,,,,,,19.06308,17.005632016413728,,,
,24,44,,,4.86,,,,,,,,,25.66326,25.821485745963745,,,
,38,64,,,5.09,,,,,,,,,29.22076,27.306000268129754,,,
,3,5,,,4.3,,,,,,,,,34.44511,39.30427499109696,,,
,4,40,,,4.07,,,,,,,,,35.67532,35.389857939241224,,,
,5,58,,,4.05,,,,,,,,,40.35595,40.876180174933566,,,
,1,45,,,3.72,,,,,,,,,41.85402,40.01811615842601,,,
,8,40,,,3.88,,,,,,,,,40.35998,37.819326341809784,,,
,10,21,,,3.77,,,,,,,,,20.80455,20.27768043817236,,,
,8,49,,,4.12,,,,,,,,,17.51955,18.564004244818406,,,
,4,45,,,3.88,,,,,,,,,25.70104,27.00743988879311,,,
,6,73,,,4.23,,,,,,,,,24.27906,25.784970315815553,,,
,0,47,,,4.02,,,,,,,,,28.16526,28.077613215311302,,,
,3,25,,,4.09,,,,,,,,,36.2402,35.64429502164043,,,
,5,16,,,4.0,,,,,,,,,28.34254,31.706376433334476,,,
,7,20,,,4.67,,,,,,,,,21.3794,20.387784697090527,,,
,0,17,,,4.22,,,,,,,,,21.78545,22.39946830297136,,,
,18,61,,,3.87,,,,,,,,,12.60472,14.049221034359253,,,
,1,27,,,3.67,,,,,,,,,28.71226,27.80966416574452,,,
,1,13,,,3.78,,,,,,,,,21.28893,23.893702127178017,,,
,7,15,,,3.78,,,,,,,,,31.93832,30.172529152840788,,,
,8,35,,,4.48,,,,,,,,,31.50548,34.277587033874724,,,
,8,36,,,4.49,,,,,,,,,29.99907,30.494328813363136,,,
,0,25,,,4.15,,,,,,,,,30.87736,30.50477526651465,,,
,4,32,,,4.38,,,,,,,,,30.2019,32.07309546839653,,,
,3,19,,,4.05,,,,,,,,,27.5933,28.611564411941256,,,
,0,49,,,4.24,,,,,,,,,30.90397,31.088303681391384,,,
,1,44,,,4.14,,,,,,,,,28.61575,28.210489527782503,,,
,6,15,,,3.96,,,,,,,,,8.385858,13.570921984785228,,,
,5,43,,,4.09,,,,,,,,,27.85367,27.77314998536755,,,
,1,27,,,3.74,,,,,,,,,38.20947,37.92111404869735,,,
,7,31,,,3.71,,,,,,,,,38.01355,40.07766320530129,,,
,1,25,,,3.48,,,,,,,,,41.89366,39.56763457556542,,,
,1,19,,,3.56,,,,,,,,,39.63743,36.82576271568005,,,
,6,51,,,4.5,,,,,,,,,29.53077,29.056189696620596,,,
,4,51,,,3.88,,,,,,,,,40.49696,41.19855285315441,,,
,1,36,,,3.72,,,,,,,,,39.5358,40.136777396605034,,,
,7,35,,,4.16,,,,,,,,,39.25485,37.87298885224736,,,
,4,42,,,3.5,,,,,,,,,45.25796,47.273109850349705,,,
,0,23,,,3.84,,,,,,,,,37.78958,38.5093725404687,,,
,2,53,,,3.96,,,,,,,,,38.63221,41.46758103512316,,,
,2,31,,,4.36,,,,,,,,,33.03251,30.879044593032955,,,
,4,90,,,4.62,,,,,,,,,9.960961,11.395528871762375,,,
