romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,calcSpikesAll,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed,yMax,xMax,zMax
,6,13,,,5.18,,,,,,,,,32.89728,37.12865693011321,,,
,7,7,,,3.83,,,,,,,,,41.08858,30.467653230636927,,,
,4,2,,,3.18,,,,,,,,,44.37948,38.20135823861956,,,
,5,16,,,4.14,,,,,,,,,39.42937,42.44305891270664,,,
,3,9,,,3.8,,,,,,,,,41.08295,38.261326402742995,,,
,3,11,,,3.29,,,,,,,,,43.12886,52.99879547399167,,,
,7,3,,,3.17,,,,,,,,,43.76498,22.551184952123307,,,
,1,7,,,3.31,,,,,,,,,43.3932,45.200753860822594,,,
,6,7,,,3.18,,,,,,,,,44.36768,33.07280979145254,,,
,7,9,,,3.29,,,,,,,,,43.71604,53.97812292918065,,,
,12,4,,,3.56,,,,,,,,,42.07402,39.451024779212894,,,
,5,9,,,3.55,,,,,,,,,41.64608,49.30107054230822,,,
,9,14,,,3.32,,,,,,,,,44.48005,44.98134604326444,,,
,8,7,,,3.37,,,,,,,,,44.2877,32.411200107318955,,,
,4,29,,,4.56,,,,,,,,,38.06948,40.12065556347946,,,
,11,14,,,3.99,,,,,,,,,39.85635,46.5356318924129,,,
,2,3,,,3.28,,,,,,,,,43.18017,41.76224294678629,,,
,7,4,,,3.23,,,,,,,,,43.87385,44.147670483581635,,,
,15,8,,,3.35,,,,,,,,,43.56557,42.639224971427616,,,
,2,3,,,3.3,,,,,,,,,44.01852,32.72293537540717,,,
,10,13,,,3.22,,,,,,,,,44.50715,56.43048295204945,,,
,2,12,,,3.19,,,,,,,,,44.46719,33.25399022990627,,,
,5,10,,,3.25,,,,,,,,,44.23823,65.27001465089783,,,
,6,16,,,3.45,,,,,,,,,41.11695,36.34235601281523,,,
,8,5,,,4.1,,,,,,,,,39.63274,35.29757738972922,,,
,10,10,,,4.12,,,,,,,,,35.4053,33.57899794934951,,,
