romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,calcSpikesAll,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed,yMax,xMax,zMax
,6,149,,,3.555,,,,,,,,,44.245065,44.23140124705053,,,
,17,145,,,3.8275,,,,,,,,,38.08186,37.0846178457517,,,
,6,143,,,3.4125,,,,,,,,,42.9576925,43.05615243811649,,,
,19,125,,,3.5625,,,,,,,,,44.036045,44.02842248030553,,,
,11,117,,,3.395,,,,,,,,,46.668395000000004,47.95415659031647,,,
,90,193,,,3.9975,,,,,,,,,28.662104,16.638910303674265,,,
,16,154,,,3.9850000000000003,,,,,,,,,41.9406775,41.1156373992622,,,
,38,196,,,4.0925,,,,,,,,,33.36614575,23.25170241282433,,,
,7,86,,,3.585,,,,,,,,,39.08974,36.75559691553295,,,
,117,154,,,5.735,,,,,,,,,21.685435,21.029041879163813,,,
,157,222,,,5.7924999999999995,,,,,,,,,29.897989999999997,31.097506730586034,,,
,30,155,,,3.9124999999999996,,,,,,,,,26.09628,24.256467539919715,,,
,14,161,,,4.085,,,,,,,,,29.256765,29.615191299031665,,,
,26,125,,,4.1075,,,,,,,,,21.1204575,19.572045783673374,,,
,24,99,,,4.1325,,,,,,,,,28.68295,28.921457629758468,,,
,10,102,,,3.6225,,,,,,,,,39.4385275,39.489404959867834,,,
,18,173,,,4.0649999999999995,,,,,,,,,37.204595000000005,36.13004865570042,,,
