romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed
1397,21,0,40,4.17,0.076569094,0.070615675,6.68E-08,8.05E-08,0.06695852,0.061041158,3.145196406,1.322219295,46.93601,21.47464518
1174,18,0,41,3.91,0.073635573,0.065654153,7.34E-08,7.83E-08,0.083201859,0.093766387,3.069668097,1.255272505,47.59616,27.84928585
1023,14,0,42,3.73,0.060897996,0.055372018,5.74E-08,6.13E-08,0.074543596,0.068199894,3.009875634,1.146128036,49.43578,30.53204506
1255,15,0,36,4,0.067254388,0.069214266,7.29E-08,8.77E-08,0.065151678,0.073475658,3.098643726,1.176091259,47.22002,28.08755284
1162,8,0,44,3.89,0.055072556,0.042376539,7.26E-08,6.92E-08,0.086149055,0.094475219,3.065206128,0.903089987,43.50798,27.95534185
1815,25,0,45,4.65,0.090211211,0.090883597,1.25E-07,1.14E-07,0.083107569,0.081818467,3.258876629,1.397940009,41.8323,23.07842574
2261,17,0,39,5.17,0.061402771,0.052538027,7.23E-08,8.24E-08,0.071206517,0.083600861,3.354300562,1.230448921,32.2732,21.38007665
1668,19,0,53,4.48,0.058707626,0.041479178,4.47E-08,4.03E-08,0.06534589,0.049009244,3.222196046,1.278753601,33.69488,17.60427308
1723,17,0,41,4.54,0.061824025,0.047694565,9.51E-08,1.44E-07,0.054245557,0.052208351,3.236285277,1.230448921,36.2356,18.14260163
1566,10,0,48,4.36,0.045935071,0.033637394,9.91E-08,9.25E-08,0.043547899,0.046403784,3.194791758,1,20.93091,16.86965775
1818,23,0,64,4.65,0.043738804,0.042803269,1.08E-07,1.36E-07,0.043620574,0.063041015,3.259593879,1.361727836,12.93279,65.86453253
2483,37,0,54,5.42,0.101808818,0.102621378,7.55E-08,7.12E-08,0.094081928,0.107760895,3.39497672,1.568201724,34.56918,18.11110797
1812,13,0,56,4.64,0.054869464,0.040933812,8.82E-08,7.70E-08,0.097025445,0.106011277,3.258158193,1.113943352,35.33289,22.58328702
1987,33,0,56,4.85,0.115621915,0.161943957,1.41E-07,1.53E-07,0.134511178,0.174287068,3.298197867,1.51851394,38.73435,24.77418234
1746,32,0,127,4.57,0.037360319,0.03251962,1.15E-07,1.51E-07,0.034086802,0.029324973,3.242044239,1.505149978,6.246203,109.9783133
2963,47,0,79,5.98,0.075256062,0.056952513,9.79E-08,1.01E-07,0.086345155,0.089488484,3.471731651,1.672097858,20.50372,10.51303592
1725,18,0,51,4.55,0.053927731,0.049280232,1.59E-07,2.21E-07,0.06231235,0.068765479,3.236789099,1.255272505,27.81204,42.02596729
1356,15,0,46,4.12,0.054784894,0.055344683,1.17E-07,1.24E-07,0.049876393,0.055878221,3.13225969,1.176091259,25.89003,10.1546905
1222,12,0,36,3.97,0.050778756,0.038564616,6.45E-08,6.35E-08,0.048302,0.046952544,3.087071206,1.079181246,34.09092,10.74725867
1148,9,0,43,3.88,0.051273958,0.039279527,7.05E-08,7.21E-08,0.094296138,0.089240513,3.059941888,0.954242509,49.23385,16.27274999
1112,16,0,28,3.83,0.077560865,0.071788478,7.63E-08,7.82E-08,0.078717607,0.084262426,3.046104787,1.204119983,52.82175,16.76946932
1560,18,0,25,4.37,0.0843956,0.060051719,8.45E-08,7.61E-08,0.055719721,0.046545269,3.193124598,1.255272505,52.27419,18.01492546
