romdasSpikes,calcSpikes,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed
1214.0,22,3.95,9.80066087591739,0.055887135949834084,5.058506624604123e-19,0.055887135949834084,0.001917388829556506,0.055887135949834084,3.0842186867392387,1.3424226808222062,27.4244
1403.0,25,4.17,9.799530931589556,0.07571679441157605,9.036493242804923e-19,0.07571679441157605,-0.0013951196923558712,0.07571679441157605,3.1470576710283598,1.3979400086720377,36.5919
1268.0,24,4.02,9.800078354748814,0.08225969272653583,-2.2669681788333283e-19,0.08225969272653583,-0.010717472901909657,0.08225969272653583,3.1031192535457137,1.380211241711606,40.74295
943.0,18,3.64,9.802007668276866,0.06934885827471425,5.778928206115505e-19,0.06934885827471425,0.009442235638270983,0.06934885827471425,2.9745116927373285,1.255272505103306,43.00969
1715.0,271,4.54,9.79975701032933,0.10040249594645968,1.44662452109166e-19,0.10040249594645968,0.0008976489651686927,0.10040249594645968,3.2342641243787895,2.432969290874406,6.030806
1282.0,38,4.04,9.796786766336925,0.0706120116822265,5.605604586692691e-19,0.0706120116822265,0.006562383970731303,0.0706120116822265,3.1078880251827985,1.5797835966168101,26.87505
1098.0,21,3.82,9.80162910922543,0.08924093297903757,-1.5488267955874904e-19,0.08924093297903757,0.001882750421320239,0.08924093297903757,3.040602340114073,1.3222192947339193,39.12314
901.0,19,3.59,9.800090132769418,0.06384167894825021,-1.0612425970681669e-19,0.06384167894825021,-0.002341251785481142,0.06384167894825021,2.954724790979063,1.2787536009528289,42.61942
1001.0,25,3.72,9.797275930804972,0.07624044347730861,-9.091235994471042e-19,0.07624044347730861,-0.0025025015152324898,0.07624044347730861,3.000434077479319,1.3979400086720377,44.5704
1049.0,15,3.76,9.798159884725298,0.0713719086314276,-4.1509454603730743e-19,0.0713719086314276,-0.012508323478707778,0.0713719086314276,3.020775488193558,1.1760912590556813,43.6329
1258.0,26,4.0,9.803503711514358,0.07789529123332462,1.171996104501404e-18,0.07789529123332462,-0.006758365546152184,0.07789529123332462,3.09968064110925,1.414973347970818,43.68532
1646.0,32,4.46,9.792625856399535,0.08898706099769388,-9.6710833785707e-19,0.08898706099769388,0.0035579372186749043,0.08898706099769388,3.216429830876251,1.505149978319906,35.87409
1475.0,28,4.26,9.801123677995472,0.07111802572926866,6.090806871207459e-19,0.07111802572926866,0.0017942670573654514,0.07111802572926866,3.1687920203141817,1.4471580313422192,39.78759
1153.0,41,3.88,9.798707131385804,0.10202853469637009,2.602085213965213e-19,0.10202853469637009,0.007335160857762845,0.10202853469637009,3.061829307294699,1.6127838567197355,44.95398
1099.0,25,3.82,9.802456659234087,0.07153131022737125,2.5342047301226407e-18,0.07153131022737125,0.0029009981347905282,0.07153131022737125,3.0409976924234905,1.3979400086720377,39.34967
1606.0,121,4.41,9.799226508885216,0.08295528216824169,-1.1644034290803442e-20,0.08295528216824169,-0.0012436915394833535,0.08295528216824169,3.205745540942662,2.0827853703164503,9.373343
1082.0,22,3.8,9.800925970519616,0.05785109884204595,1.0511734970323034e-19,0.05785109884204595,0.0028914292123929626,0.05785109884204595,3.0342272607705505,1.3424226808222062,23.83325
1007.0,17,3.72,9.80002037332413,0.058878292305619855,-5.63785129692462e-19,0.058878292305619855,-0.0021178190464632577,0.058878292305619855,3.003029470553618,1.2304489213782739,38.14687
749.0,23,3.41,9.798164237876993,0.07699306674618168,-3.2721982258092023e-19,0.07699306674618168,0.0017979830183262454,0.07699306674618168,2.8744818176994666,1.3617278360175928,46.24817
734.0,23,3.41,9.798006987700592,0.07310346028697255,1.1486682476062645e-19,0.07310346028697255,0.002878359215532457,0.07310346028697255,2.8656960599160706,1.3617278360175928,48.13067
993.0,24,3.7,9.796249596995692,0.09120794254126212,1.7906822977825096e-19,0.09120794254126212,0.0017066729735522698,0.09120794254126212,2.996949248495381,1.380211241711606,45.06194
851.0,16,3.53,9.802435582949792,0.061735205317968674,6.125072932245951e-19,0.061735205317968674,-0.004058585516548262,0.061735205317968674,2.929929560084588,1.2041199826559248,43.68497
778.0,17,3.45,9.797406893999149,0.0626954602399962,-1.4759285256500525e-19,0.0626954602399962,0.0032849352245068407,0.0626954602399962,2.890979596989689,1.2304489213782739,45.55822
